Index,Company,Account Type,Twitter Handle,Account Creation Date,Account Followers,Account Following,Account Likes,Account Public Lists,Original Tweets,Retweets,Reply Tweets,Quote Tweets,Original Tweet Retweets,Original Tweet Likes,Original Tweet Replies,Original Tweet Quotes
0,CURTISS-WRIGHT CORP.,Corporate,@CWCorporation1,2016-08-30 14:36:56+00:00,73,25,0,3,5,1,0,0,0,1,0,0
0,AGCO CORP.,Corporate,@AGCOcorp,2009-04-04 16:41:21+00:00,49452,3142,9558,492,10359,2070,1404,82,23958,71912,1869,1424
0,POOL CORP.,Corporate,@poolcorp,2015-05-26 13:44:33+00:00,646,132,24,10,112,12,0,3,30,72,3,5
0,NCR CORP,Corporate,@NCRCorporation,2009-03-23 18:44:42+00:00,22653,6823,10626,604,14971,870,539,174,21233,40017,1259,1525
0,DICKS SPORTING GOODS INC.,Corporate,@DICKS,2009-05-19 15:21:00+00:00,369662,953,13945,1712,13389,1393,42272,120,375997,875927,68529,33073
0,MICROSEMI CORP.,Corporate,@pmcmicrosemi,2011-07-21 20:03:37+00:00,1093,444,154,45,259,226,11,0,173,116,18,0
0,TEMPUR SEALY INTERNATIONAL INC,Corporate,@TempurPedic,2011-09-07 20:55:45+00:00,16917,862,5750,119,1804,341,12297,70,9181,59852,5052,2117
0,COGNEX CORP.,Corporate,@Cognex_Corp,2008-10-10 19:06:40+00:00,4457,268,61,117,989,58,10,7,853,1098,64,35
0,DST SYSTEMS INC,Corporate,@dst_systems,2016-02-11 16:19:41+00:00,14,0,0,1,0,0,0,0,0,0,0,0
0,FIRST NIAGARA FINANCIAL GROUP INC.,Corporate,@firstniagara,2010-01-15 14:08:21+00:00,3220,564,1104,92,0,0,0,0,0,0,0,0
0,IDACORP INC.,Corporate,@idahopower,2009-08-25 17:13:40+00:00,6955,776,4797,144,4438,866,1340,179,2862,8516,785,313
0,MAXIMUS INC.,Corporate,@MAXIMUS_news,2010-05-19 15:57:33+00:00,2190,534,844,50,4877,890,98,29,3060,7367,272,173
0,AMC NETWORKS INC. CL A,Corporate,@AMC_TV,2010-05-27 17:10:21+00:00,674887,441,8735,2700,11367,7345,1196,553,178711,695376,32504,13047
0,FIRSTMERIT CORP.,Corporate,@FirstMerit,2009-03-16 13:31:33+00:00,1373,61,7,49,0,0,0,0,0,0,0,0
0,WEX INC.,Corporate,@WEXIncNews,2012-03-29 15:02:56+00:00,1829,280,2849,95,6305,848,130,38,1759,5278,174,182
0,THE HANOVER INSURANCE GROUP INC.,Corporate,@The_Hanover,2008-10-30 18:10:29+00:00,6056,818,291,86,2823,189,13,10,6386,8598,277,627
0,JABIL CIRCUIT INC,Corporate,@Jabil,2012-02-07 14:49:42+00:00,10046,2549,6284,541,8764,2732,908,149,12023,16699,749,1291
0,FAIR ISAAC CORP.,Corporate,@FICO,2009-06-30 17:18:54+00:00,9385,4829,7781,649,16435,4100,371,238,10956,15494,636,743
0,MSC INDUSTRIAL DIRECT CO. CL A,Corporate,@MSC_Industrial,2009-06-03 21:25:29+00:00,4624,1127,758,81,5015,453,65,24,1955,6096,156,123
0,CULLEN/FROST BANKERS INC.,Corporate,@FrostBank,2013-03-05 19:48:22+00:00,20569,324,1127,82,874,22,1932,15,4818,22583,1300,714
0,CINEMARK HOLDINGS INC.,Corporate,@Cinemark,2011-09-16 19:13:41+00:00,76972,286,33299,462,13000,3020,11530,349,142167,387893,27842,14468
0,HAWAIIAN ELECTRIC INDUSTRIES INC.,Corporate,@HwnElectric,2010-01-02 19:09:26+00:00,37576,816,2775,337,28876,1767,7352,47,24553,56971,3800,2240
